positive,negative,neutral,compound,emoji_score,num_boosters,has_negation,num_tokens,label
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.625,0.0,0,0,0,8,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,1.5,0.0,0,0,0,2,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.0,0.0,0,0,0,3,neutral
0.0,0.0,2.25,0.0,0,0,0,4,neutral
